implementation,checkpoint,support_low,support_high,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman,source_file
baseline,adult_model_10,0.0525,0.0551,random,0.7031588563226113,0.07345762486994362,0.07512507299402943,0.001393701007016756,0.0011237616389705458,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-1-5-27-57-77-89-129.pkl
baseline,adult_model_10,0.0525,0.0551,delta,0.7275515554001684,0.0993675171964689,0.11965951897642688,0.15754476664737294,0.1061257321261369,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-20-26-78-129.pkl
baseline,adult_model_10,0.0525,0.0551,tstat,0.7265929502600306,0.11475550825626082,0.15898769230338208,0.11040106507616163,0.0880331171622517,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-20-26-78-129.pkl
baseline,adult_model_10,0.0525,0.0551,random,0.6952147151011847,0.06466450563898798,0.07762541759394025,0.0001784488215528493,0.0011752066553872879,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-20-26-78-129.pkl
baseline,adult_model_10,0.0525,0.0551,delta,0.725973461641319,0.008419988346502436,0.011262634473400233,0.06397492730780632,0.0975314849000198,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-26-34-50-77.pkl
baseline,adult_model_10,0.0525,0.0551,tstat,0.7376246922456254,0.028796685333875815,0.061373336017914934,0.09827593819799903,0.10802092422011884,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-26-34-50-77.pkl
baseline,adult_model_10,0.0525,0.0551,random,0.7335376470104897,0.11797521710382605,0.13319084117059016,-0.0004891152404435659,-0.0008754278734615853,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-12-15-26-34-50-77.pkl
baseline,adult_model_10,0.0525,0.0551,delta,0.7261716168484262,0.15452263123433752,0.19849020253573585,0.17352643607195564,0.09028051877319125,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-13-26-54-59-129.pkl
baseline,adult_model_10,0.0525,0.0551,tstat,0.7176447655006433,0.1575813643123487,0.1770196031330353,0.11104992379851183,0.07068631955788081,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-13-26-54-59-129.pkl
baseline,adult_model_10,0.0525,0.0551,random,0.6783424166180823,0.06324513599361684,0.07260329650117564,0.003208660148603075,0.002182086116074983,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-13-26-54-59-129.pkl
