implementation,method,support_low,support_high,nDCG,nDCG_10,nDCG_100,Pearson,Spearman
adaptive,random,0.131,0.186,0.849034207808694,0.17250366167926617,0.1942994399328711,1.012035801954002e-05,0.0009742316794021901
adaptive,random,0.186,0.992,0.9005671286459844,0.321101744601938,0.34449493370851253,0.0006493673017452001,0.0007122048806165602
adaptive,tstat,0.049,0.0525,0.7828738547102472,0.11195248907665553,0.10767964673875544,-0.008649976360891608,0.01370100774998011
adaptive,tstat,0.0525,0.0551,0.7869461187699416,0.04801231324613733,0.08826506667427797,0.00709065867318905,0.014681434476690711
adaptive,tstat,0.0551,0.0581,0.78075129564445,0.08105029659733741,0.12215924974771113,0.030628556301109472,0.04725195590188361
adaptive,tstat,0.0581,0.0615,0.7911310800245712,0.10785056291947917,0.16043356282246604,0.029324975307756317,0.03784062345620457
adaptive,tstat,0.0615,0.0658,0.7876416053169997,0.08653344897888762,0.10532472149315539,0.02425990822551831,0.0374751343112943
adaptive,tstat,0.0658,0.0704,0.8082106985773905,0.12920370926977842,0.12292174088239953,0.00865719890010135,0.013847468971247282
adaptive,tstat,0.0704,0.0765,0.7987696464614604,0.18680186319417044,0.19550849026198375,0.04623889960652613,0.0574742356877459
adaptive,tstat,0.0765,0.0849,0.8016136028831407,0.14056072582999798,0.17731409355999794,0.03802969254256029,0.05675308159163979
adaptive,tstat,0.0849,0.096,0.8302223114436238,0.18913035442531587,0.24744021996032134,0.00997976397638931,0.02731106443759526
adaptive,tstat,0.096,0.109,0.8197571560773396,0.11071846612550548,0.1816750845105385,0.0185514569187469,0.047967177645105906
adaptive,tstat,0.109,0.131,0.8385577451073184,0.10029339620465065,0.2145757002154725,0.00474851922352081,0.029343890357177698
adaptive,tstat,0.131,0.186,0.8534492229583261,0.22568546463758596,0.2511088144397039,0.027532303518582258,0.03551432050439582
adaptive,tstat,0.186,0.992,0.9010998643999729,0.2512292469481435,0.3388305742055621,-0.00382999619544023,0.0088809323042807
baseline,delta,0.049,0.0525,0.7885634339944712,0.06610929348712621,0.07539741256294788,0.06076038315755796,0.08853166821420685
baseline,delta,0.0525,0.0551,0.808623146397424,0.11326317471258718,0.13398330024459773,0.16311093898888912,0.12728726412222152
baseline,delta,0.0551,0.0581,0.7878618349882982,0.06183004220453463,0.08087345510946392,0.1292360247081215,0.14375411888610395
baseline,delta,0.0581,0.0615,0.8432802489993749,0.1794757898417343,0.22840409297803568,0.31407360571362125,0.2440642882468862
baseline,delta,0.0615,0.0658,0.8130676875587675,0.10756679055663158,0.14082746365101412,0.1905984773862778,0.17765927049959881
baseline,delta,0.0658,0.0704,0.8373773759545919,0.13440056621272062,0.15640101732313877,0.18839052502789103,0.16380799164736867
baseline,delta,0.0704,0.0765,0.8416041205094672,0.15180900056512472,0.20875262150582433,0.3002036112548484,0.23969091229884953
baseline,delta,0.0765,0.0849,0.8559435624046031,0.24665961911924392,0.26921662387041356,0.30748711108396676,0.2382014172481381
baseline,delta,0.0849,0.096,0.8870191891883646,0.31043234046679197,0.3187096634250784,0.3606101598973947,0.24810993674381043
baseline,delta,0.096,0.109,0.835467076541142,0.17710451499444066,0.1572830748464157,0.18045200470817288,0.2195035483897053
baseline,delta,0.109,0.131,0.8399107067816501,0.1322930820708053,0.12204894810635902,0.09072360172699731,0.14095741810566068
baseline,delta,0.131,0.186,0.884312474975226,0.2759951636472239,0.27788472816570914,0.26223808965033685,0.23577902760837297
baseline,delta,0.186,0.992,0.9066178645881269,0.2947285232708069,0.2828301985850544,0.12840923535866838,0.1291139457827076
baseline,random,0.049,0.0525,0.779161227695164,0.06605580953818974,0.0962866240282981,-0.0005313935058556699,-0.0019358653205686297
baseline,random,0.0525,0.0551,0.7861873492754106,0.08053322468455884,0.0930916242328862,0.00015665496266508002,0.0023441309406402903
