implementation,checkpoint,support_low,support_high,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman,source_file,win_size,comparison
baseline,adult_model_10,0.0525,0.0551,delta,0.8755196747555781,0.2049845216732662,0.3470707942139039,0.5441340775586924,0.3248567552071052,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-13-26-54-59-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.8716446819662632,0.3456842747789411,0.4142437909411552,0.4355201320390463,0.3070056874714297,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-13-26-54-59-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.7552073474680613,0.11904395013414182,0.0635647336453475,-0.0017888016743661528,0.0013288054974429444,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-13-26-54-59-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.743627222077653,0.0,3.3145454099400025e-05,0.07367991050677063,0.11605899869291479,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-14-15-20-34-77-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.7473319349600985,0.03406689368002575,0.032204124465044615,0.08371963977741276,0.09054017133286459,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-14-15-20-34-77-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.7646756329574785,0.09188409767856626,0.08190684323825244,0.006535913042961969,0.014839721943500054,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-14-15-20-34-77-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.8143403808770292,0.018765785788066123,0.045364803489563815,0.16589773851770806,0.1804922152823587,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-27-50-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,tstat,0.8436310865941075,0.018765785788066123,0.3225484483836962,0.2139207423816944,0.16176109643058265,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-27-50-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,random,0.7889569758369867,0.047797564597091786,0.08381636561528676,-0.007489782558062376,-0.005785472609054178,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-27-50-87-129.pkl,5,first_vs_last
baseline,adult_model_10,0.0525,0.0551,delta,0.7308557874014957,0.016972247949750375,0.004887284006876579,0.0678996428530265,0.10867920386488834,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-5-14-20-48-57-77-129.pkl,5,first_vs_last
